,,coglomerate - liquid,pure - illiquid
Đông Bắc Bộ,Tuyên Quang,,
Tây Bắc Bộ,Bản Chát,TTA,
Tây Bắc Bộ,Bản Chát,PC1,
Tây Bắc Bộ,Huội Quảng,TTA,
Tây Bắc Bộ,Sơn La,,NED
Tây Bắc Bộ,Hòa Bình,,
Tây Bắc Bộ,Thác Bà,REE,
Tây Bắc Bộ,Thác Bà,,TBC
Bắc Trung Bộ,Trung Sơn,,
Bắc Trung Bộ,Bản Vẽ,HDG,
Bắc Trung Bộ,Bản Vẽ,,VPD
Bắc Trung Bộ,Bản Vẽ,,HNA
Bắc Trung Bộ,Quảng Trị,HDG,
Bắc Trung Bộ,Quảng Trị,,CHPs
Nam Trung Bộ,A Vương,,AVC
Nam Trung Bộ,Sông Bung 2,DPG,
Nam Trung Bộ,Vĩnh Sơn A,REE,
Nam Trung Bộ,Vĩnh Sơn A,,VSH
Nam Trung Bộ,Sông Bung 4,DPG,
Nam Trung Bộ,Vĩnh Sơn B,REE,
Nam Trung Bộ,Vĩnh Sơn B,DPG,
Nam Trung Bộ,Vĩnh Sơn B,,VSH
Nam Trung Bộ,Vĩnh Sơn C,REE,
Nam Trung Bộ,Vĩnh Sơn C,DPG,
Nam Trung Bộ,Vĩnh Sơn C,,VSH
Nam Trung Bộ,Sông Tranh 2,DPG,
Nam Trung Bộ,Sông Ba Hạ,,SBA
Nam Trung Bộ,Sông Hinh,REE,
Nam Trung Bộ,Sông Hinh,,VSH
Nam Trung Bộ,Sông Hinh,,SBA
Tây Nguyên,Pleikrông,GEG,
Tây Nguyên,Pleikrông,,GHC
Tây Nguyên,Ialy,GEG,
Tây Nguyên,Ialy,,GHC
Tây Nguyên,Sê San 3,,S4A
Tây Nguyên,Sê San 3A,,S4A
Tây Nguyên,Sê San 4,,S4A
Tây Nguyên,Kanak,GEG,
Tây Nguyên,Kanak,,GHC
Tây Nguyên,An Khê,GEG,
Tây Nguyên,An Khê,,GHC
Tây Nguyên,Srêpốk 3,,DRL
Tây Nguyên,Buôn Kuốp,,DRL
Tây Nguyên,Buôn Tua Srah,,
Tây Nguyên,Đồng Nai 3,,
Tây Nguyên,Đồng Nai 4,,
Tây Nguyên,Đơn Dương,,SHP
Tây Nguyên,Đại Ninh,,SHP
Tây Nguyên,Hàm Thuận,,SHP
Tây Nguyên,Đa Mi,,SHP
Tây Nguyên,Thượng Kon Tum,REE,
Tây Nguyên,Thượng Kon Tum,,VSH
Đông Nam Bộ,Trị An,,
Đông Nam Bộ,Thác Mơ,,
Đông Nam Bộ,Thác Mơ,,TMP